Probe,chrom,chromStart,chromEnd,s,v,d,tss,g
AC062031.,2,145912590,145917590,+,-3.0826468,5000,145915090,2145915090
AC062032.,2,146877409,146882409,+,-3.0826468,5000,146879909,2146879909
ACVR2A,2,147842017,147847017,+,-0.23829775,5000,147844517,2147844517
AC009480.3,2,147900456,147905456,-,-2.7347236,5000,147902956,2147902956
ORC4,2,148018223,148023223,-,-1.1845264,5000,148020723,2148020723
MBD5,2,148018511,148023511,+,-1.3721535,5000,148021011,2148021011
EPC2,2,148642484,148647484,+,-0.2201504,5000,148644984,2148644984
KIF5C,2,148872750,148877750,+,0.26527643,5000,148875250,2148875250
AC105402.4,2,148886323,148891323,-,-2.2201502,5000,148888823,2148888823
LYPD6B,2,149035967,149040967,+,-0.86965317,5000,149038467,2149038467
LYPD6,2,149328037,149333037,+,-0.3923314,5000,149330537,2149330537
AC144449.,2,149584696,149589696,+,-1.1158137,5000,149587196,2149587196
MMADHC,2,149585102,149590102,-,-1.1158137,5000,149587602,2149587602
AC007364.,2,149856691,149861691,-,-2.2201502,5000,149859191,2149859191
AC016682.,2,150168923,150173923,+,-3.2201505,5000,150171423,2150171423
AC113610.,2,150254507,150259507,-,-2.2201502,5000,150257007,2150257007
RND3,2,150485194,150490194,-,-0.58788216,5000,150487694,2150487694
AC104777.3,2,150563634,150568634,+,-3.2201505,5000,150566134,2150566134
AC104777.2,2,150569721,150574721,-,-4.2201505,5000,150572221,2150572221
AC104777.,2,150617567,150622567,-,-1.8416387,5000,150620067,2150620067
AC104777.4,2,150626555,150631555,+,-3.0826468,5000,150629055,2150629055
AC023469.2,2,150980006,150985006,+,-3.3721535,5000,150982506,2150982506
AC023469.,2,151046274,151051274,-,-1.6840974,5000,151048774,2151048774
AC018731.3,2,151183709,151188709,-,-2.0185165,5000,151186209,2151186209
RBM43,2,151259379,151264379,-,-1.5420785,5000,151261879,2151261879
NMI,2,151287557,151292557,-,-1.5878822,5000,151290057,2151290057
TNFAIP6,2,151355092,151360092,+,-2.6351879,5000,151357592,2151357592
RIF,2,151407441,151412441,+,-0.8982223,5000,151409941,2151409941
ARL5A,2,151825988,151830988,-,-1.6840974,5000,151828488,2151828488
AC079790.2,2,152095828,152100828,+,0.91735315,5000,152098328,2152098328
CACNB4,2,152096579,152101579,-,0.8416258,5000,152099079,2152099079
STAM2,2,152173492,152178492,-,-1.0185165,5000,152175992,2152175992
FMNL2,2,152332737,152337737,+,-0.58788216,5000,152335237,2152335237
ARL6IP6,2,152715414,152720414,+,-0.11581374,5000,152717914,2152717914
PRPF40A,2,152715481,152720481,-,-0.13268755,5000,152717981,2152717981
AC011901.2,2,153199226,153204226,-,-2.2201502,5000,153201726,2153201726
AC079150.3,2,153335205,153340205,+,-1.6840974,5000,153337705,2153337705
AC012501.2,2,153447320,153452320,-,-3.3721535,5000,153449820,2153449820
RPRM,2,153476308,153481308,-,-0.56479853,5000,153478808,2153478808
GALNT13,2,153869413,153874413,+,0.34056455,5000,153871913,2153871913
AC009227.2,2,154454938,154459938,-,-2.2201502,5000,154457438,2154457438
AC009227.3,2,154457357,154462357,+,-2.4546156,5000,154459857,2154459857
AC061961.2,2,154695317,154700317,-,-0.95711595,5000,154697817,2154697817
KCNJ3,2,154695799,154700799,+,-0.98748964,5000,154698299,2154698299
AC092625.,2,154965503,154970503,-,-1.7347237,5000,154968003,2154968003
AC093375.,2,156022113,156027113,-,-2.3721535,5000,156024613,2156024613
NR4A2,2,156330216,156335216,-,-0.3923314,5000,156332716,2156332716
GPD2,2,156432941,156437941,+,-0.73472357,5000,156435441,2156435441
GALNT5,2,157255098,157260098,+,-2.3721535,5000,157257598,2157257598
ERMN,2,157325213,157330213,-,-2.294151,5000,157327713,2157327713
CYTIP,2,157441642,157446642,-,-1.957116,5000,157444142,2157444142
ACVR1C,2,157626505,157631505,-,-0.37215346,5000,157629005,2157629005
AC019186.,2,157733505,157738505,-,-2.2201502,5000,157736005,2157736005
ACVR,2,157872611,157877611,-,-0.68409747,5000,157875111,2157875111
RP11-546J1.,2,157875183,157880183,+,-0.47598928,5000,157877683,2157877683
RP11-1152H14.,2,157915212,157920212,+,-2.4546156,5000,157917712,2157917712
UPP2,2,158099370,158104370,+,-2.9571161,5000,158101870,2158101870
UPP2-IT,2,158125457,158130457,+,-2.6351879,5000,158127957,2158127957
CCDC148,2,158454253,158459253,-,-0.68409747,5000,158456753,2158456753
PKP4,2,158454599,158459599,+,-0.6351879,5000,158457099,2158457099
AC005042.5,2,158683403,158688403,+,-3.3721535,5000,158685903,2158685903
AC005042.4,2,158732502,158737502,-,-1.957116,5000,158735002,2158735002
TANC,2,158966171,158971171,+,0.057834353,5000,158968671,2158968671
WDSUB,2,159284299,159289299,-,-1.4127955,5000,159286799,2159286799
AC008277.,2,159383867,159388867,+,-2.4546156,5000,159386367,2159386367
AC009506.,2,159612796,159617796,+,-0.09913499,5000,159615296,2159615296
BAZ2B,2,159614192,159619192,-,-0.11581374,5000,159616692,2159616692
AC009961.3,2,159709930,159714930,-,-1.2566763,5000,159712430,2159712430
MARCH7,2,159709999,159714999,+,-1.2566763,5000,159712499,2159712499
LY75-CD302,2,159902210,159907210,-,-1.6351879,5000,159904710,2159904710
ITGB6,2,160197801,160202801,-,-3.3721535,5000,160200301,2160200301
RBMS,2,160491294,160496294,-,-0.814158,5000,160493794,2160493794
RP11-20F18.,2,160848176,160853176,-,-0.65943545,5000,160850676,2160850676
TANK,2,161134408,161139408,+,-2.1497612,5000,161136908,2161136908
AC009313.,2,161157724,161162724,-,-1.3326252,5000,161160224,2161160224
AC009299.3,2,161242239,161247239,+,-1.6840974,5000,161244739,2161244739
AC009299.2,2,161248662,161253662,-,-2.1497612,5000,161251162,2161251162
PSMD14,2,161305538,161310538,+,-0.95711595,5000,161308038,2161308038
TBR,2,161413594,161418594,+,2.0799732,5000,161416094,2161416094
AC009487.4,2,161421077,161426077,-,2.7571294,5000,161423577,2161423577
AC009487.5,2,161421515,161426515,+,2.8198652,5000,161424015,2161424015
RP11-334E15.,2,161431374,161436374,+,-1.6840974,5000,161433874,2161433874
SLC4A,2,161621838,161626838,+,-1.7347237,5000,161624338,2161624338
AC008063.2,2,162070756,162075756,+,-0.5420785,5000,162073256,2162073256
DPP4,2,162072042,162077042,-,-0.65943545,5000,162074542,2162074542
AC008063.3,2,162090929,162095929,+,-1.8982222,5000,162093429,2162093429
GCG,2,162149903,162154903,-,-2.2201502,5000,162152403,2162152403
AC007750.5,2,162157318,162162318,+,-2.8416388,5000,162159818,2162159818
FAP,2,162241035,162246035,-,-3.3721535,5000,162243535,2162243535
IFIH,2,162316203,162321203,-,-1.4546157,5000,162318703,2162318703
GCA,2,162341588,162346588,+,-1.0185165,5000,162344088,2162344088
AC007740.,2,162766436,162771436,+,-1.8982222,5000,162768936,2162768936
KCNH7,2,162836118,162841118,-,-1.6840974,5000,162838618,2162838618
FIGN,2,163733507,163738507,-,-0.20222849,5000,163736007,2163736007
AC092684.,2,164349723,164354723,-,-4.2201505,5000,164352223,2164352223
GRB14,2,164619348,164624348,-,-1.0185165,5000,164621848,2164621848
AC019181.2,2,164838249,164843249,+,-0.47598928,5000,164840749,2164840749
COBLL,2,164839525,164844525,-,-0.45461562,5000,164842025,2164842025
SLC38A,2,164953025,164958025,-,-3.7347236,5000,164955525,2164955525
AC013463.2,2,164989484,164994484,+,-1.3721535,5000,164991984,2164991984
SCN3A,2,165201543,165206543,-,-3.0826468,5000,165204043,2165204043
SCN2A,2,165291531,165296531,+,-2.8416388,5000,165294031,2165294031
CSRNP3,2,165569839,165574839,+,-3.0826468,5000,165572339,2165572339
GALNT3,2,165792182,165797182,-,-0.73472357,5000,165794682,2165794682
AC009495.2,2,165792351,165797351,+,-0.787191,5000,165794851,2165794851
AC009495.3,2,165836598,165841598,-,-3.2201505,5000,165839098,2165839098
AC009495.4,2,165843591,165848591,-,-2.0185165,5000,165846091,2165846091
TTC21B,2,165951343,165956343,-,-1.0185165,5000,165953843,2165953843
AC010127.3,2,166079031,166084031,+,-3.0826468,5000,166081531,2166081531
SCN9A,2,166373493,166378493,-,-1.4546157,5000,166375993,2166375993
AC074363.,2,167290671,167295671,+,0.17216703,5000,167293171,2167293171
B3GALT,2,167866448,167871448,+,-2.3721535,5000,167868948,2167868948
AC016723.4,2,167938644,167943644,-,-2.4546156,5000,167941144,2167941144
STK39,2,168245641,168250641,-,-0.95711595,5000,168248141,2168248141
CERS6,2,168453362,168458362,+,-0.65943545,5000,168455862,2168455862
NOSTRIN,2,168799918,168804918,+,-2.0826468,5000,168802418,2168802418
SPC25,2,168887945,168892945,-,-2.294151,5000,168890445,2168890445
G6PC2,2,168898740,168903740,+,-3.2201505,5000,168901240,2168901240
ABCB,2,169028822,169033822,-,-2.6351879,5000,169031322,2169031322
DHRS9,2,169064535,169069535,+,-2.5420785,5000,169067035,2169067035
AC007556.3,2,169098243,169103243,+,-3.5420787,5000,169100743,2169100743
LRP2,2,169360185,169365185,-,1.1232574,5000,169362685,2169362685
BBS5,2,169476678,169481678,+,-1.6351879,5000,169479178,2169479178
KLHL4,2,169507202,169512202,+,-3.0826468,5000,169509702,2169509702
FASTKD,2,169571373,169576373,-,-1.294151,5000,169573873,2169573873
PPIG,2,169581840,169586840,+,-0.35225394,5000,169584340,2169584340
CCDC173,2,169691933,169696933,-,0.17216703,5000,169694433,2169694433
PHOSPHO2,2,169691965,169696965,+,0.17216703,5000,169694465,2169694465
KLHL23,2,169731346,169736346,+,-0.814158,5000,169733846,2169733846
SSB,2,169796312,169801312,+,-0.86965317,5000,169798812,2169798812
METTL5,2,169822414,169827414,-,-0.787191,5000,169824914,2169824914
UBR3,2,169824958,169829958,+,-0.23829775,5000,169827458,2169827458
AC012594.,2,170348555,170353555,-,-2.6351879,5000,170351055,2170351055
AC007277.3,2,170692874,170697874,-,-1.3326252,5000,170695374,2170695374
LINC01124,2,170712067,170717067,-,0.5240107,5000,170714567,2170714567
SP5,2,170712851,170717851,+,0.3159025,5000,170715351,2170715351
AC007405.4,2,170768266,170773266,-,-1.8416387,5000,170770766,2170770766
ERICH2,2,170781286,170786286,+,-2.5420785,5000,170783786,2170783786
GAD,2,170814062,170819062,+,0.4121178,5000,170816562,2170816562
AC007405.8,2,170815395,170820395,-,0.5347371,5000,170817895,2170817895
GORASP2,2,170926026,170931026,+,-0.8982223,5000,170928526,2170928526
TLK,2,171158333,171163333,-,-0.56479853,5000,171160833,2171160833
METTL8,2,171431586,171436586,-,-0.45461562,5000,171434086,2171434086
DCAF17,2,171431751,171436751,+,-0.47598928,5000,171434251,2171434251
DYNC1I2,2,171684970,171689970,+,-0.92736864,5000,171687470,2171687470
AC068039.4,2,171770982,171775982,+,-1.5878822,5000,171773482,2171773482
SLC25A12,2,171891752,171896752,-,-1.8416387,5000,171894252,2171894252
HAT,2,171919965,171924965,+,-0.8416388,5000,171922465,2171922465
METAP1D,2,171997083,172002083,+,-1.7871909,5000,171999583,2171999583
DLX,2,172082726,172087726,+,3.022071,5000,172085226,2172085226
AC104088.,2,172312787,172317787,+,0.18584196,5000,172315287,2172315287
RP11-227L6.,2,172421673,172426673,-,-2.8416388,5000,172424173,2172424173
ITGA6,2,172425055,172430055,+,-0.814158,5000,172427555,2172427555
AC078883.4,2,172426103,172431103,-,-0.68409747,5000,172428603,2172428603
AC078883.3,2,172463522,172468522,-,-3.0826468,5000,172466022,2172466022
PDK,2,172553469,172558469,+,-0.33262512,5000,172555969,2172555969
AC093818.,2,172554029,172559029,-,-0.29415098,5000,172556529,2172556529
RAPGEF4,2,172733341,172738341,+,-0.018516535,5000,172735841,2172735841
PK,2,173073459,173078459,+,-0.65943545,5000,173075959,2173075959
CDCA7,2,173352361,173357361,+,-0.09913499,5000,173354861,2173354861
RP11-796E10.,2,173808576,173813576,+,-1.294151,5000,173811076,2173811076
AC106900.6,2,173896928,173901928,-,-3.2201505,5000,173899428,2173899428
SP3,2,173963202,173968202,-,0.13034685,5000,173965702,2173965702
RP11-394I13.2,2,173965851,173970851,+,-1.2201505,5000,173968351,2173968351
RP11-394I13.3,2,174010475,174015475,-,-2.1497612,5000,174012975,2174012975
RP11-394I13.,2,174022780,174027780,+,-2.8416388,5000,174025280,2174025280
OLA,2,174246198,174251198,-,-0.47598928,5000,174248698,2174248698
LINC01305,2,174323527,174328527,+,1.2194728,5000,174326027,2174326027
SP9,2,174332446,174337446,+,2.5872045,5000,174334946,2174334946
RP11-572N21.,2,174335066,174340066,-,2.46635,5000,174337566,2174337566
CIR,2,174393215,174398215,-,-1.5420785,5000,174395715,2174395715
GPR155,2,174484580,174489580,-,-1.1497611,5000,174487080,2174487080
AC010894.3,2,174484903,174489903,+,-0.98748964,5000,174487403,2174487403
RP11-483E17.,2,174543835,174548835,-,-2.8416388,5000,174546335,2174546335
AC018890.6,2,174544874,174549874,+,-2.8416388,5000,174547374,2174547374
AC010894.5,2,174572727,174577727,+,-1.8982222,5000,174575227,2174575227
CHRNA,2,174761972,174766972,-,-2.4546156,5000,174764472,2174764472
AC018890.4,2,174785428,174790428,-,-1.5878822,5000,174787928,2174787928
CHN,2,175002726,175007726,-,-0.51971066,5000,175005226,2175005226
AC096649.2,2,175165404,175170404,+,-0.65943545,5000,175167904,2175167904
ATP5G3,2,175182107,175187107,-,-2.2201502,5000,175184607,2175184607
AC096649.3,2,175254750,175259750,+,-2.6351879,5000,175257250,2175257250
AC016751.3,2,175894836,175899836,+,-3.5420787,5000,175897336,2175897336
AC016751.2,2,175903002,175908002,-,-2.6351879,5000,175905502,2175905502
KIAA1715,2,175999845,176004845,-,-1.0502254,5000,176002345,2176002345
EVX2,2,176081413,176086413,-,3.28447,5000,176083913,2176083913
HOXD13,2,176090391,176095391,+,2.5506787,5000,176092891,2176092891
HOXD12,2,176097230,176102230,+,2.7594178,5000,176099730,2176099730
HOXD,2,176104786,176109786,+,3.3313656,5000,176107286,2176107286
HOXD,2,176114079,176119079,+,2.2588212,5000,176116579,2176116579
HOXD9,2,176120220,176125220,+,3.2490845,5000,176122720,2176122720
HOXD8,2,176127240,176132240,+,3.0372374,5000,176129740,2176129740
AC009336.19,2,176148585,176153585,+,2.7662606,5000,176151085,2176151085
HOXD4,2,176148722,176153722,+,2.7662606,5000,176151222,2176151222
HOXD3,2,176161577,176166577,+,2.5949125,5000,176164077,2176164077
RP11-387A1.5,2,176163216,176168216,-,2.2359986,5000,176165716,2176165716
HAGLROS,2,176175217,176180217,+,1.2971253,5000,176177717,2176177717
HAGLR,2,176175784,176180784,-,1.0201639,5000,176178284,2176178284
HOXD,2,176186079,176191079,+,2.1892407,5000,176188579,2176188579
RP11-387A1.6,2,176190038,176195038,-,-0.13268755,5000,176192538,2176192538
MTX2,2,176266919,176271919,+,-0.98748964,5000,176269419,2176269419
AC017048.,2,176505202,176510202,-,-2.2201502,5000,176507702,2176507702
AC017048.2,2,176529183,176534183,-,-3.5420787,5000,176531683,2176531683
RP11-324L17.,2,176609749,176614749,-,-2.2201502,5000,176612249,2176612249
LINC01117,2,176635210,176640210,+,0.48028934,5000,176637710,2176637710
LINC01116,2,176635431,176640431,-,0.48028934,5000,176637931,2176637931
AC092162.,2,176763611,176768611,-,-1.4976845,5000,176766111,2176766111
RP11-632P5.,2,176819530,176824530,+,-1.957116,5000,176822030,2176822030
AC073636.,2,176846928,176851928,-,-2.9571161,5000,176849428,2176849428
AC079305.,2,177162016,177167016,-,-1.4127955,5000,177164516,2177164516
HNRNPA3,2,177210063,177215063,+,0.38865885,5000,177212563,2177212563
AC079305.8,2,177210162,177215162,-,0.4121178,5000,177212662,2177212662
AC079305.,2,177261859,177266859,+,-0.65943545,5000,177264359,2177264359
NFE2L2,2,177262631,177267631,-,-0.70918846,5000,177265131,2177265131
RP11-337N6.2,2,177298100,177303100,+,-2.7347236,5000,177300600,2177300600
RP11-337N6.,2,177303873,177308873,+,-1.957116,5000,177306373,2177306373
RP11-337N6.3,2,177315971,177320971,-,-2.3721535,5000,177318471,2177318471
AGPS,2,177390144,177395144,+,-1.294151,5000,177392644,2177392644
AC074286.,2,177390187,177395187,-,-1.2566763,5000,177392687,2177392687
TTC30B,2,177550514,177555514,-,-0.4976844,5000,177553014,2177553014
AC073834.3,2,177600589,177605589,+,-2.294151,5000,177603089,2177603089
TTC30A,2,177616466,177621466,-,-1.294151,5000,177618966,2177618966
AC012499.,2,177695929,177700929,+,-1.8416387,5000,177698429,2177698429
AC011998.,2,178009489,178014489,-,-2.3721535,5000,178011989,2178011989
PDE11A,2,178070255,178075255,-,-1.6351879,5000,178072755,2178072755
OSBPL6,2,178192149,178197149,+,-0.95711595,5000,178194649,2178194649
RP11-65L3.,2,178398334,178403334,+,-2.8416388,5000,178400834,2178400834
AC009948.5,2,178411439,178416439,+,-0.5420785,5000,178413939,2178413939
PRKRA,2,178448731,178453731,-,-0.6351879,5000,178451231,2178451231
DFNB59,2,178448936,178453936,+,-0.65943545,5000,178451436,2178451436
FKBP7,2,178476058,178481058,-,-0.8416388,5000,178478558,2178478558
PLEKHA3,2,178477968,178482968,+,-0.73472357,5000,178480468,2178480468
RP11-65L3.4,2,178538625,178543625,+,-1.7871909,5000,178541125,2178541125
RP11-65L3.2,2,178546384,178551384,+,-2.0826468,5000,178548884,2178548884
RP11-65L3.3,2,178552061,178557061,+,-2.6351879,5000,178554561,2178554561
RP11-171I2.5,2,178574603,178579603,+,-2.3721535,5000,178577103,2178577103
RP11-171I2.2,2,178576290,178581290,+,-2.294151,5000,178578790,2178578790
RP11-171I2.4,2,178614081,178619081,+,-2.3721535,5000,178616581,2178616581
RP11-171I2.3,2,178642217,178647217,+,-2.3721535,5000,178644717,2178644717
RP11-171I2.,2,178720957,178725957,+,-1.7871909,5000,178723457,2178723457
RP11-88L24.4,2,178774426,178779426,+,-2.8416388,5000,178776926,2178776926
TTN,2,178804908,178809908,-,-3.7347236,5000,178807408,2178807408
CCDC14,2,178882451,178887451,-,-1.7871909,5000,178884951,2178884951
SESTD,2,179262290,179267290,-,-0.7607187,5000,179264790,2179264790
AC093911.,2,179271331,179276331,+,-3.9571161,5000,179273831,2179273831
ZNF385B,2,179859005,179864005,-,0.43520147,5000,179861505,2179861505
CWC22,2,180004553,180009553,-,-0.6351879,5000,180007053,2180007053
AC009478.,2,180689954,180694954,-,-2.6351879,5000,180692454,2180692454
RP11-739A13.,2,180798727,180803727,+,-2.3721535,5000,180801227,2180801227
AC104076.3,2,180977590,180982590,-,-1.0185165,5000,180980090,2180980090
UBE2E3,2,180978106,180983106,+,-1.1497611,5000,180980606,2180980606
AC068196.,2,181103468,181108468,-,-1.6840974,5000,181105968,2181105968
AC104820.2,2,181121337,181126337,+,-2.6351879,5000,181123837,2181123837
AC020595.,2,181423249,181428249,-,-2.3721535,5000,181425749,2181425749
ITGA4,2,181454725,181459725,+,-0.14976107,5000,181457225,2181457225
NEUROD,2,181678376,181683376,-,2.0163422,5000,181680876,2181680876
AC013733.3,2,181680613,181685613,+,2.432336,5000,181683113,2181683113
AC013733.4,2,181690915,181695915,-,-2.0185165,5000,181693415,2181693415
RP11-366L5.,2,181889163,181894163,-,-0.23829775,5000,181891663,2181891663
SSFA2,2,181889388,181894388,+,-0.23829775,5000,181891888,2181891888
PPP1R1C,2,181951741,181956741,+,-2.8416388,5000,181954241,2181954241
PDE1A,2,182520077,182525077,-,-2.5420785,5000,182522577,2182522577
DNAJC,2,182713772,182718772,+,-0.92736864,5000,182716272,2182716272
FRZB,2,182864662,182869662,-,-0.37215346,5000,182867162,2182867162
NCKAP,2,183035972,183040972,-,-0.70918846,5000,183038472,2183038472
DUSP19,2,183076259,183081259,+,-2.2201502,5000,183078759,2183078759
AC064871.3,2,183106019,183111019,-,-2.5420785,5000,183108519,2183108519
NUP35,2,183121855,183126855,+,-1.2566763,5000,183124355,2183124355
RP11-438L19.,2,183211819,183216819,+,-2.7347236,5000,183214319,2183214319
AC093639.,2,183902029,183907029,+,-2.4546156,5000,183904529,2183904529
ZNF804A,2,184595866,184600866,+,-0.2566763,5000,184598366,2184598366
AC007966.,2,185736221,185741221,-,-2.2201502,5000,185738721,2185738721
FSIP2,2,185736395,185741395,+,-2.2201502,5000,185738895,2185738895
LINC01473,2,186080723,186085723,-,-2.9571161,5000,186083223,2186083223
RP11-410E4.,2,186354273,186359273,-,-2.8416388,5000,186356773,2186356773
ZC3H15,2,186483656,186488656,+,-0.51971066,5000,186486156,2186486156
ITGAV,2,186587565,186592565,+,-0.8416388,5000,186590065,2186590065
FAM171B,2,186691471,186696471,+,-1.294151,5000,186693971,2186693971
AC017101.,2,186692787,186697787,-,-1.0502254,5000,186695287,2186695287
ZSWIM2,2,186846670,186851670,-,-1.7347237,5000,186849170,2186849170
AC007319.,2,187000720,187005720,+,-2.294151,5000,187003220,2187003220
CALCRL,2,187445960,187450960,-,-2.3721535,5000,187448460,2187448460
TFPI,2,187511141,187516141,-,-0.95711595,5000,187513641,2187513641
LINC0109,2,188285191,188290191,-,-2.6351879,5000,188287691,2188287691
GULP,2,188290272,188295272,+,-0.14976107,5000,188292772,2188292772
DIRC,2,188787604,188792604,-,-2.4546156,5000,188790104,2188790104
AC079613.,2,188836945,188841945,-,-2.294151,5000,188839445,2188839445
COL3A,2,188971820,188976820,+,-2.9571161,5000,188974320,2188974320
AC133106.2,2,189092563,189097563,+,-2.294151,5000,189095063,2189095063
COL5A2,2,189177379,189182379,-,-1.2201505,5000,189179879,2189179879
WDR75,2,189438933,189443933,+,-1.5420785,5000,189441433,2189441433
SLC40A,2,189578387,189583387,-,-0.35225394,5000,189580887,2189580887
ASNSD,2,189658920,189663920,+,-1.5878822,5000,189661420,2189661420
ANKAR,2,189673485,189678485,+,-1.5878822,5000,189675985,2189675985
OSGEPL,2,189760267,189765267,-,-0.814158,5000,189762767,2189762767
RP11-455J20.3,2,189761956,189766956,-,-0.7607187,5000,189764456,2189764456
ORMDL,2,189781864,189786864,-,-0.92736864,5000,189784364,2189784364
PMS,2,189781881,189786881,+,-0.92736864,5000,189784381,2189784381
C2orf88,2,189877127,189882127,+,-2.5420785,5000,189879627,2189879627
MSTN,2,190060229,190065229,-,-2.7347236,5000,190062729,2190062729
HIBCH,2,190317545,190322545,-,-2.294151,5000,190320045,2190320045
INPP,2,190341070,190346070,+,-1.294151,5000,190343570,2190343570
RP11-647K16.,2,190452021,190457021,-,-2.6351879,5000,190454521,2190454521
TMEM194B,2,190532222,190537222,-,-1.7347237,5000,190534722,2190534722
AC093388.3,2,190532355,190537355,+,-1.7347237,5000,190534855,2190534855
NAB,2,190646733,190651733,+,0.08727813,5000,190649233,2190649233
AC006460.2,2,190699046,190704046,-,-2.3721535,5000,190701546,2190701546
GLS,2,190878327,190883327,+,-0.51971066,5000,190880827,2190880827
AC005540.3,2,190879559,190884559,-,-0.58788216,5000,190882059,2190882059
STAT,2,191011750,191016750,-,-1.3326252,5000,191014250,2191014250
AC067945.2,2,191015454,191020454,+,-2.5420785,5000,191017954,2191017954
AC067945.4,2,191019026,191024026,+,-1.4127955,5000,191021526,2191021526
STAT4,2,191149090,191154090,-,-1.4976845,5000,191151590,2191151590
RP11-317J9.,2,191153570,191158570,-,-2.4546156,5000,191156070,2191156070
MYO1B,2,191243028,191248028,+,-0.7607187,5000,191245528,2191245528
AC092614.2,2,191243672,191248672,-,-0.8416388,5000,191246172,2191246172
NABP,2,191676032,191681032,+,-0.65943545,5000,191678532,2191678532
AC098872.3,2,191790925,191795925,+,-3.3721535,5000,191793425,2191793425
SDPR,2,191844755,191849755,-,-2.5420785,5000,191847255,2191847255
AC098617.,2,191920046,191925046,+,-2.8416388,5000,191922546,2191922546
TMEFF2,2,192193209,192198209,-,0.9497746,5000,192195709,2192195709
AC013401.,2,192627419,192632419,+,-2.2201502,5000,192629919,2192629919
AC013401.2,2,192642887,192647887,-,-1.957116,5000,192645387,2192645387
PCGEM,2,192747345,192752345,+,-2.5420785,5000,192749845,2192749845
RP11-764E7.,2,193895867,193900867,+,-4.5420785,5000,193898367,2193898367
AC018799.,2,194341782,194346782,+,-2.4546156,5000,194344282,2194344282
AC006196.,2,194728095,194733095,+,-1.5420785,5000,194730595,2194730595
AC010983.,2,195023870,195028870,-,-1.4976845,5000,195026370,2195026370
AC064834.,2,195446032,195451032,+,-3.5420787,5000,195448532,2195448532
RP11-762E8.,2,195513199,195518199,-,-2.4546156,5000,195515699,2195515699
AC064834.2,2,195530535,195535535,+,-2.1497612,5000,195533035,2195533035
AC064834.3,2,195570470,195575470,-,-1.7871909,5000,195572970,2195572970
RP11-347P5.,2,196148763,196153763,+,-2.1497612,5000,196151263,2196151263
STK17B,2,196169075,196174075,-,-0.45461562,5000,196171575,2196171575
AC020571.3,2,196257614,196262614,+,-2.4546156,5000,196260114,2196260114
HECW2,2,196590111,196595111,-,-0.08264687,5000,196592611,2196592611
CCDC15,2,196637132,196642132,+,-1.4127955,5000,196639632,2196639632
GTF3C3,2,196797201,196802201,-,-1.1158137,5000,196799701,2196799701
C2orf66,2,196807776,196812776,-,-1.957116,5000,196810276,2196810276
RP11-84A12.,2,196829690,196834690,-,-3.2201505,5000,196832190,2196832190
PGAP,2,196924231,196929231,-,-0.95711595,5000,196926731,2196926731
ANKRD44,2,197120233,197125233,-,-3.2201505,5000,197122733,2197122733
AC013264.2,2,197195491,197200491,+,-2.6351879,5000,197197991,2197197991
ANKRD44-IT,2,197300019,197305019,-,-2.7347236,5000,197302519,2197302519
AC010746.3,2,197308893,197313893,+,0.027777117,5000,197311393,2197311393
SF3B,2,197432591,197437591,-,-0.7607187,5000,197435091,2197435091
COQ10B,2,197450923,197455923,+,-1.294151,5000,197453423,2197453423
HSPE,2,197497494,197502494,+,-0.58788216,5000,197499994,2197499994
HSPD,2,197497547,197502547,-,-0.6113411,5000,197500047,2197500047
HSPE1-MOB4,2,197497913,197502913,+,-0.5420785,5000,197500413,2197500413
MOB4,2,197513332,197518332,+,-1.0826468,5000,197515832,2197515832
RFTN2,2,197673495,197678495,-,-0.8982223,5000,197675995,2197675995
AC011997.,2,197690606,197695606,+,-0.2201504,5000,197693106,2197693106
MARS2,2,197702869,197707869,+,-1.1845264,5000,197705369,2197705369
BOLL,2,197782850,197787850,-,-3.5420787,5000,197785350,2197785350
PLCL,2,197802202,197807202,+,-0.13268755,5000,197804702,2197804702
AC109589.,2,198189021,198194021,-,-2.294151,5000,198191521,2198191521
AC005235.,2,198372049,198377049,-,-2.7347236,5000,198374549,2198374549
AC019330.,2,198769856,198774856,-,-3.5420787,5000,198772356,2198772356
AC018717.,2,199069291,199074291,-,-1.8982222,5000,199071791,2199071791
RP11-486F17.,2,199322810,199327810,+,-2.8416388,5000,199325310,2199325310
SATB2,2,199455596,199460596,-,0.81547356,5000,199458096,2199458096
AC093590.,2,199622031,199627031,+,-2.1497612,5000,199624531,2199624531
FTCDNL,2,199848673,199853673,-,-1.3326252,5000,199851173,2199851173
AC073043.,2,199908455,199913455,-,-1.0185165,5000,199910955,2199910955
C2orf69,2,199908756,199913756,+,-1.1497611,5000,199911256,2199911256
C2orf47,2,199953103,199958103,+,-1.3326252,5000,199955603,2199955603
SPATS2L,2,200303486,200308486,+,-0.2566763,5000,200305986,2200305986
KCTD18,2,200507563,200512563,-,-1.6840974,5000,200510063,2200510063
SGOL2,2,200523657,200528657,+,-2.0826468,5000,200526157,2200526157
AOX,2,200583368,200588368,+,-1.1845264,5000,200585868,2200585868
AC007163.3,2,200732677,200737677,-,-2.6351879,5000,200735177,2200735177
AC007163.6,2,200809670,200814670,-,-1.1158137,5000,200812170,2200812170
RP11-469M7.,2,200822173,200827173,+,-1.4976845,5000,200824673,2200824673
CLK,2,200862199,200867199,-,-0.95711595,5000,200864699,2200864699
